ABIS CAN, Abis Canadensis-Pinus Canadensis, Hemlock Spruce\1
112 ,1   ,1   ,4   ,4   
ARS, Arsenicum Album, Arsenic Oxide (white) (Arsenious Acid)*\113
113 ,371 ,371 ,1563,1563
ARS-B, Arsenicum Bromatum, Bromide of Arsenic\114
114 ,9   ,10  ,40  ,36  
ARS-H, Arsenicum Hydrogenisatum, Arseniuretted Hydrogen\115
115 ,22  ,22  ,92  ,92  
ARS-I, Arsenicum Iodatum, Arsenic Iodide*\116
116 ,84  ,86  ,340 ,336 
ARS-M, Arsenicum Metallicum, Metallic Arsenic\117
117 ,21  ,23  ,98  ,91  
ARSENICUM STIBIATUM, Arsenicum Stibiatum\118
118 ,6   ,6   ,28  ,28  
ARS-SULF, Arsenicum Sulfuratum Flavum - Arsenic Trisulph, Yellow Sulphuret of Arsenic.  Orpiment\119
119 ,8   ,8   ,32  ,32  
ARSENIC SULPH. RUB., Arsenic Sulfuratum Rub.\120
120 ,8   ,8   ,32  ,32  
ARSYNAL, Arsynal, Disodium Methylarsenate\121
121 ,4   ,5   ,21  ,17  
ART-V, Artemisia Vulgaris, Mugwort\122
122 ,14  ,16  ,61  ,57  
ARUM-D, Arum Dracontium, Green Dragon\123
123 ,16  ,16  ,64  ,64  
ARUM-I, Arum Italicum\124
124 ,1   ,1   ,4   ,4   
ARUM-M, Arum Maculatum\125
125 ,2   ,2   ,8   ,8   
ARUM-T, Arum Triphyllum, Indian Turnip (Jack-in-the-Pulpit)*\126
126 ,50  ,53  ,212 ,200 
ARUNDO, Arundo, Reed\127
127 ,45  ,48  ,196 ,184 
ARUNDO DONAX, Arundo Donax\128
128 ,2   ,2   ,8   ,8   
ASAFAT, Asafat.\129
129 ,2   ,2   ,8   ,8   
ASAFOETIDA, Asafoetida, Gum of the Stinkasand\130
130 ,51  ,59  ,236 ,207 
ASARUM-C, Asarum Canadensa, Wild Ginger\131
131 ,2   ,2   ,8   ,8   
ASARUM-E, Asarum Europum, European Snake-root\132
132 ,54  ,54  ,221 ,221 
ASCLEPIAS-I, Asclepias Incarnata, Swamp Milk Weed\133
133 ,2   ,2   ,8   ,8   
ASCLEPIAS-S, Asclepias Syriaca (Cornuti), Silkweed\134
134 ,10  ,10  ,40  ,40  
ASCLEPIAS-T, Asclepias Tuberosa, Pleurisy-root\135
135 ,23  ,25  ,100 ,92  
ASIMINA, Asimina Triloba, American Papaw\136
136 ,15  ,15  ,62  ,62  
ASPARAGUS, Asparagus Officinalis, Common Garden Asparagus\137
137 ,21  ,25  ,100 ,84  
ASPERULA, Asperula, Nacent Oxygen - Distilled water charged with the gas\138
138 ,3   ,3   ,12  ,12  
ASPIDIUM, Aspidium Albamanticum, Panna\139
139 ,1   ,1   ,4   ,4   
ASPIDOSPERMA, Aspidosperma, Quebracho\140
140 ,6   ,8   ,32  ,24  
ASTERIAS, Asterias Rubens, Red Starfish\141
141 ,49  ,51  ,211 ,203 
ASTRAGALUS, Astragalus Mollissimus, Purple or Wolly Loco-weed\142
142 ,13  ,13  ,52  ,52  
ATRIPLEX, Atriplex\143
143 ,8   ,8   ,35  ,35  
ATROPIA, Atropia, Alkaloid of Belladonna\144
144 ,15  ,15  ,59  ,59  
AURANTIUM, Aurantium-Orange\145
145 ,3   ,3   ,12  ,12  
AUR-A, Aurum Ars.\146
146 ,5   ,5   ,19  ,19  
AUR-B, Aurum Brom.\147
147 ,4   ,4   ,18  ,18  
AUR-I, Aurum Iodide\148
148 ,9   ,9   ,36  ,36  
AUR, Aurum Metallicum, Gold*\149
149 ,140 ,143 ,618 ,607 
AUR MUR, Aurum Mur.\150
150 ,22  ,24  ,96  ,88  
AUR MUR KALI, Aurum Mur Kali, Double chloride of Potassium and gold\151
151 ,1   ,1   ,4   ,4   
AURUM MURIATICUM, Aurum Muriaticum Natronatom, Sodium Chloroaurate\152
152 ,21  ,30  ,116 ,82  
AUR-S, Aurum Sulph\153
153 ,6   ,6   ,24  ,24  
AVENA, Avena Sativa, Common Oat\154
154 ,24  ,27  ,114 ,102 
AVIARE, Aviare, Tuberculin from Birds\155
155 ,9   ,10  ,40  ,36  
AZADIR, Azadirachta Indica, Margosa Bark\156
156 ,18  ,20  ,82  ,74  
BACIL, Bacillium, Tubercular Sputum (A Maceration of a Typical Tuberculous Lung)*\157
157 ,28  ,30  ,121 ,113 
BADIAGA, Badiaga, Fresh-water Sponge\158
158 ,45  ,45  ,179 ,179 
BAJA, Baja, an East Indian drug\159
159 ,2   ,5   ,8   ,8   
BALSAMUM-P, Balsamum Peruvianum, Peruvian Balsam from Myroxylon Pereirae\160
160 ,14  ,14  ,56  ,56  
BALSAMUM-T, Balsamum Tolutanum, the Balsam of My Roxylon Toluifera\161
161 ,1   ,1   ,4   ,4   
BANGARUS FASCIATUS, Bangarus Fasciatus, Banded Krait\162
162 ,2   ,2   ,8   ,8   
BAPT-C, Baptisia Confusia\163
163 ,1   ,1   ,4   ,4   
BAPT-T, Baptisia Tinctoria, Wild Indigo*\164
164 ,107 ,111 ,465 ,449 
BAROSMA, Barosma Crenata, Buchu\165
165 ,4   ,4   ,16  ,16  
BAR-A, Baryta Acetica, Acetate of Barium\166
166 ,9   ,9   ,42  ,42  
BAR-C, Baryta Carbonica, Barium Carbonate*\167
167 ,119 ,123 ,502 ,498 
BAR-I, Baryta Iodata, Iodide of Barium\168
168 ,4   ,4   ,16  ,16  
BAR-M, Baryta Muriatica, Barium Chloride\169
169 ,44  ,49  ,185 ,181 
BELL, Belladonna, Deadly Nightshade*\170
170 ,352 ,375 ,1571,1476
BEL-P, Bellis Perennis, English Daisy*\171
171 ,57  ,64  ,256 ,228 
BENZ, Benzenum, Coal Naphtha (Benzol, C6, H6)\172
172 ,33  ,39  ,162 ,138 
BENZIN., Benzin, Petroleum Ether\173
173 ,11  ,11  ,44  ,44  
BENZIN-D, Benzin Dinitricum, D. N. B.\174
174 ,5   ,6   ,24  ,20  
BENZIN-N, Benzin. Nitricum. Mirbane\175
175 ,20  ,20  ,82  ,82  
BENZOICUM, Benzoicum Acidum, Benzoic Acid\176
176 ,75  ,81  ,323 ,299 
BERBERIS-A, Berberis Aquifolium-Mahonia, Mountain Grape\177
177 ,27  ,27  ,108 ,108 
BERB VULG, Berberis Vulgaris, Barberry*\178
178 ,88  ,101 ,408 ,364 
BETA VUL, Beta Vulgaris, Beet-root\179
179 ,4   ,5   ,18  ,15  
BETONICA, Betonica, Betony Wood\180
180 ,12  ,12  ,50  ,50  
BISMUTHUM, Bismuthum, Precipitated Sub-Nitrate of Bismuth \181
181 ,45  ,46  ,191 ,187 
BIXA ORELLANA, Bixa Orellana\182
182 ,3   ,3   ,12  ,12  
BLACK GUNPOWDER, Black Gunpowder\183
183 ,6   ,6   ,23  ,23  
BLAT-A, Blatta Americana, Cockroach\184
184 ,6   ,6   ,24  ,24  
BLAT, Blatta Orientalis, Indian cockroach*\185
185 ,7   ,11  ,44  ,28  
BOLDO, Boldoa Fragrans\186
186 ,8   ,8   ,32  ,32  
BOLETUS, Boletus Laricis - Polyporus Officinale, White Agaric\187
187 ,13  ,13  ,52  ,52  
BOLETUS-L, Boletus Lurides\188
188 ,2   ,2   ,8   ,8   
BOLETUS-S, Boletus Satanus\189
189 ,5   ,5   ,20  ,20  
BOMBYX, Bombyx, Caterpillar\190
190 ,1   ,1   ,4   ,4   
BORICUM, Boricum Acidum, Boracic Acid\191
191 ,11  ,11  ,44  ,44  
BORX, Borax, Biborate of Soda*\192
192 ,107 ,110 ,453 ,440 
BOTHROPS, Bothrops Lanciolatus - Lachesis Lanciolatus, Yellow Viper\193
193 ,34  ,34  ,137 ,137 
BOTULINUM, Botulinum, Toxin of Bacillus Botulinum\194
194 ,12  ,12  ,48  ,48  
BOVISTA, Bovista, Puff-Ball\195
195 ,66  ,72  ,293 ,269 
BRACHYGLOTTIS, Brachyglottis, Puka-Puka\196
196 ,13  ,16  ,64  ,52  
BRASSICA NUPUS, Brassica Nupus, Rape-Seed\197
197 ,6   ,6   ,24  ,24  
BROM, Bromium, Bromine*\198
198 ,78  ,86  ,343 ,315 
BRUCEA, Brucea., Bark of Nux Vomica or Angustura Falsa.\199
199 ,6   ,6   ,24  ,24  
BRY, Bryonia Alba, Wild Hop*\200
200 ,246 ,246 ,1018,1018
BUFO, Bufo Rana, Poison of the Toad*\201
201 ,69  ,71  ,304 ,296 
BUTYRIC AC, Butyric Acid, A Volatile Acid Obtained Chiefly from Butter\202
202 ,23  ,23  ,100 ,100 
CACT, Cactus Grandiflorus - Selenicereus Spinulosus, Night-blooming Cereus*\203
203 ,87  ,90  ,376 ,364 
CADM-B, Cadmium Brom.\204
204 ,2   ,2   ,8   ,8   
CADM-J, Cadmium Jodat.\205
205 ,5   ,5   ,20  ,20  
CADM, Cadmium Metallicum, Cadmium (the element)*\206
206 ,1   ,1   ,4   ,4   
CADM-S, Cadmium Sulph, Cadmic Sulfate\207
207 ,67  ,75  ,296 ,268 
CAFFEIN, Caffein, Caffeine\208
208 ,7   ,7   ,28  ,28  
CAHINCA, Cahinca, Brazilian Plant - Chiococca\209
209 ,10  ,13  ,52  ,40  
CAJUPUTUM, Cajuputum (Oleum Wittnebianum), Cajuput Oil\210
210 ,17  ,17  ,70  ,70  
CALADIUM SEG., Caladium Seguinum, American Arum\211
211 ,35  ,42  ,174 ,146 
CAL-AC, Calcarea Acetica, Acetate of Lime\212
212 ,9   ,12  ,48  ,36  
CAL-AR, Calcarea Arsenica, Arsenite of Lime\213
213 ,37  ,37  ,163 ,163 
CAL-B, Calcarea Brom.\214
214 ,3   ,3   ,11  ,11  
CAL-CAL, Calcarea Calcinate, Calcined Oyster-shell\215
215 ,1   ,1   ,4   ,4   
CAL-C, Calcarea Carbonica - Ostrearum, Calcium Carbonate*\216
216 ,248 ,248 ,1004,1004
CALC-CAUS, Calcarea Caust.\217
217 ,4   ,4   ,16  ,16  
CALC-F, Calcarea Fluorata, Flour Spar (calcium flouride)*\218
218 ,110 ,110 ,449 ,449 
CALC-H, Calcarea Hypophosporosa\219
219 ,14  ,14  ,56  ,56  
CALC-I, Calcarea Iodata, Iodide of Lime\220
220 ,19  ,22  ,88  ,76  
