hominis scabies
homogenous colloid
homosexuality lesbianism
honeycomb favus
hopeful sanguine
horrible agonizing
horrid repulsive
horrifying alarming
horripilation goose-flesh, gooseflesh
hospital typhus
hostility repugnance
humiliating abject
humiliation mortification, chagrin
hunch potts'
hunchback potts'
hunger bulimia
hurt injured, injure, injury
husky stout
hydraemia hydremia
hydrocephaloid hydrocephalus
hydrocephalus hydrocephaloid
hydroperitonium ascites
hyperhidrosis hyperidrosis
hyperhydrochloria hyperchlorhydria
hypermetropia presbyopia
hyperthyroidism basedow's, grave's
hypofunction addison's
hypoglossis ranula
hypoglottis ranula
hypopion hypopyon
hypopyon hypopion
hyposarca anasarca
hypothyroid myxoedema
hysteritis metritis
ichor ichorous
ichorous ichor
icterus jaundice, jaundiced, jaundices
ideas notions
idiopathic werlhoff's, werlhoffii
idle lazy, indolent, slothful
idleness indolence
idles loafs
ignis shingles, zona, zoster
ignorant obtuse
ignores shuns
ill ailment, indisposed
ill-humor moroseness
ill-humored morose
illness indisposition, mal
ills ailings
illuminated luminous
immature infantile
immersed preoccupied
imminent impending
immorality wickedness
impaired impeded
impairing impeding
impassioned vehement
impede retard
impeded retarded
impetigo tetter
impoverished destitute
impromptu spontaneous
improve ameliorate, palliative
improved ameliorated
improvement amelioration
impulsive impetuous
in lying-in, glycosuria, inspiration, inhaled, hematuria, repercussed, inhaling, inspirations, tinnitus, including, inhalation
inability incapacity, incompetence
inactive latent, indolent, sedentary, slothful, torpid
inactivity indolence
inadequacy incompetence
inclination predisposition, proneness, propensity
inclined predisposed, prone
incomplete onanism
incoordination inco-ordination
increased catarrhal, catarrhs, catarrh
indecent lewd, immodest
indecisive vacillating
indifference lethargy, apathy, frigidity
indifferent lax, lethargic, disinterested, complacent
indigestion mortification
indolent lazy, slothful
inebriation intoxication
ineffective effete, ineffectual
inert lifeless, sedentary
infant neonatorum
infantium infantum
infantum infantium
infection sepsis, septic
infirm enfeebled
inflamation adenitis, cholecystitis
inflamed quinsy
inflammation enteritis, coxitis, blepharitis, glossitis, keratitis, croup, salpingitis, colitis, bright's, corneitis
inflammatory quinsy
inflammed nephritic, nephritis
inflexible uncompromising
