cabbage 2
cachectic 1
cachesia 1
cachetic 1
cachexia 1
cacum 0
cadaverous 1
cadaverous-smelling 1
cadaverously 1
cake 2
caked 1
cakes 0
calamity 3
calcareous 1
calcis 1
calculi 1
calculitis 1
calculous 1
calculus 1
calf 1
call 0
callosities 1
callous 1
calls 0
calmness 3
calvarium 1
calves 1
came 0
camp 0
can 0
can't 0
canal 1
canals 1
cance 1
cancer 1
cancer-like 1
cancerous 1
cancers 1
candle-light 2
candy 2
canine 1
canker 1
cannon 0
cannot 0
canthi 1
canthus 1
cap 0
capacity 0
capillaries 1
capillary 1
capitis 0
capricious 3
capsular 1
car 2
car-riding 2
carbuncle 1
carbuncles 1
carcinoma 1
cardiac 1
cardialgia 1
cardiovascular 1
carditis 1
care 0
carefully-selected 0
cares 3
caresses 2
caries 1
carious 1
carotid 1
carotids 1
carpal 1
carphologia 1
carpi 1
carriage 2
carriages 2
carried 0
carriers 1
carrion-like 1
carrying 1
cars 2
cartilage 1
cartilages 1
cartilaginous 1
caruncle 1
cases 0
cast 1
castanea 1
casts 1
cat's 2
cat-like 1
cat-nap 1
catalepsy 1
cataleptic 1
catamenia 1
cataract 1
cataracts 1
catarrh 1
catarrhal 1
catarrhs 1
catch 0
catches 0
catching 1
catheter 1
catnaps 1
cats 2
caught 1
cauliflower 2
cause 0
caused 0
causeless 0
causes 0
causing 0
causticum 1
cautious 3
cavities 1
cavity 1
cease 0
ceased 0
ceaseless 0
ceases 0
ceasing 0
cecal 1
cecum 1
celibacy 1
cellar 0
cellars 0
cells 1
cellular 1
cellulitis 1
cent. 0
center 0
centers 0
central 1
centralis 1
cephalagia 1
cephalalgia 1
cereals 2
cerebellar 1
cerebellum 1
cerebral 1
cerebro-spinal 1
cerebro-spinalis 1
certain 0
cerumen 1
cervical 1
cervico-brachial 1
cervico-occipital 1
cervix 1
cessation 0
cetonia 1
chafed 1
chafing 1
chagrin 3
chair 2
chalaza 1
chalk 2
chalk-like 1
chalky 1
chamber 0
chamomilla 0
champagne 2
chanchroids 1
chancre 1
chancre-like 1
chancres 1
chancroid 1
chancroids 1
change 0
changeable 3
changeableness 3
changed 0
changes 0
changing 0
channel 1
chapped 1
chapping 1
character 3
characteristic 0
characteristically 0
characteristics 0
characterized 0
characterizes 0
charcoal 1
charges 0
charred 1
chattering 1
check 0
checked 0
checks 0
cheek 1
cheek-bone 1
cheek-bones 1
cheekbone 1
cheeks 1
cheerful 3
cheering 3
cheese 2
cheesy 1
chemosis 1
cherries 2
chest 1
chest-pains 1
chested 2
chew 1
chewing 1
cheyne-stokes 1
chicken 2
chicken-pox 1
chief 0
chiefly 0
chilblains 1
child 2
child's 0
childbirth 1
childhood 2
childish 3
childless 1
children 2
children's 0
chill 1
chilled 1
chilliness 1
chilling 1
chills 1
chilly 1
chimney 0
chin 1
china 0
chloasma 1
chloasmata 1
chlorides 0
chloro-anemia 1
chloroform 0
chloronic 1
chlorosis 1
chlorotic 1
chocolate 2
choke 1
chokes 1
choking 1
cholecystitis 1
cholelithiasis 1
cholera 1
cholera-like 1
choleraic 1
choleric 1
cholethiasis 1
choose 3
chopped 1
chordee 1
chorea 1
chorea-like 1
choreic 1
choroditis 1
choroid 1
chorosiditis 1
chromatic 2
chromatis 1
chronic 2
chronicity 2
chubby 2
cicatrices 1
cicatricial 1
cicatrization 1
cider 2
cigarettes 2
cigarmakers 2
ciliaris 1
ciliary 1
cimex 1
cina 0
cinchona 1
cinders 2
circinatus 1
circle 2
circles 1
circular 1
circulation 1
circulation. 1
circulatory 1
circumflex 1
circumscribed 1
cirrhosis 1
cirrhotic 1
citrus 2
claims 0
clairaudient 3
clairvoyance 3
clairvoyant 3
clamminess 1
clammy 1
clamped 1
clarke 0
clashing 2
classified 0
clavicle 1
clavicles 1
clavus 1
clawing 2
clay 2
clay-colored 1
clayey 1
clean 2
cleaning 2
clear 1
clearing 2
clearly 0
clears 1
clenched 1
clergyman's 1
climacteric 1
climate 2
climates 2
climaxis 1
climbing 1
clinkers 2
clitoris 1
clogged 1
clonic 1
close 0
